photo_group,source_images,category,denomination,country,year,mint_mark,design_variety,diameter_mm,weight_g,composition,edge,obverse_text,reverse_text,condition_notes,qty,est_value_low_usd,est_value_high_usd,value_basis,confidence,notes,crop_file,annotated_file,box_id,rare_candidate,rare_reason,visual_flag,visual_flag_reason
Pile p14,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,low,Date digits not clearly legible.,IMG_1208_p14.jpg,annotated/IMG_1208.jpeg,p14,,,,
Pile p15,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,1974,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1974,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,low,"Partially legible, verify in hand.",IMG_1208_p15.jpg,annotated/IMG_1208.jpeg,p15,,,,
Pile p16,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,low,Overlapping neighbor coin makes the date ambiguous.,IMG_1208_p16.jpg,annotated/IMG_1208.jpeg,p16,,,,
Pile p17,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,1974,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1974,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,medium,,IMG_1208_p17.jpg,annotated/IMG_1208.jpeg,p17,,,,
Pile p18,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,low,Date obscured by an overlapping neighbor coin.,IMG_1208_p18.jpg,annotated/IMG_1208.jpeg,p18,,,,
Pile p19,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,1976,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1976,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,medium,,IMG_1208_p19.jpg,annotated/IMG_1208.jpeg,p19,,,,
Pile p20,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,low,"Dark, date not legible.",IMG_1208_p20.jpg,annotated/IMG_1208.jpeg,p20,,,,
Batch 2 cent b01,IMG_1233,Circulating Cent,1 cent,USA,2023,not legible in photo,"Lincoln cent, Union Shield reverse (2010-present)",19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 2023,ONE CENT / E PLURIBUS UNUM / UNITED STATES OF AMERICA - Union Shield design,"Laid out on green textured fabric, good detail, some glare",1,0.01,0.04,"Face value - common modern dates, no premium",high,,IMG_1233_b01.jpg,annotated/IMG_1233.jpeg,b01,,,,
Batch 2 cent b02,IMG_1233,Circulating Cent,1 cent,USA,,not legible in photo,"Lincoln cent, Union Shield reverse (2010-present)",19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,not shown in this crop,ONE CENT / E PLURIBUS UNUM / UNITED STATES OF AMERICA - Union Shield design,"Laid out on green textured fabric, good detail, some glare",1,0.01,0.04,"Face value - common modern dates, no premium",medium,"Union Shield reverse is clear (2010-present), but the obverse/date isn't shown in this crop.",IMG_1233_b02.jpg,annotated/IMG_1233.jpeg,b02,,,,
Batch 2 cent b03,IMG_1233,Circulating Cent,1 cent,USA,2021,not legible in photo,"Lincoln cent, Union Shield reverse (2010-present)",19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 2021,ONE CENT / E PLURIBUS UNUM / UNITED STATES OF AMERICA - Union Shield design,"Laid out on green textured fabric, good detail, some glare",1,0.01,0.04,"Face value - common modern dates, no premium",high,,IMG_1233_b03.jpg,annotated/IMG_1233.jpeg,b03,,,,
Batch 2 cent b04,IMG_1233,Circulating Cent,1 cent,USA,2021,not legible in photo,"Lincoln cent, Union Shield reverse (2010-present)",19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 2021,ONE CENT / E PLURIBUS UNUM / UNITED STATES OF AMERICA - Union Shield design,"Laid out on green textured fabric, good detail, some glare",1,0.01,0.04,"Face value - common modern dates, no premium",high,,IMG_1233_b04.jpg,annotated/IMG_1233.jpeg,b04,,,,
Batch 2 cent b05,IMG_1233,Circulating Cent,1 cent,USA,,not legible in photo,"Lincoln cent, Union Shield reverse (2010-present)",19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,not shown in this crop,ONE CENT / E PLURIBUS UNUM / UNITED STATES OF AMERICA - Union Shield design,"Laid out on green textured fabric, good detail, some glare",1,0.01,0.04,"Face value - common modern dates, no premium",medium,"Union Shield reverse is clear (2010-present), but the obverse/date isn't shown in this crop.",IMG_1233_b05.jpg,annotated/IMG_1233.jpeg,b05,,,,
Batch 2 cent b06,IMG_1233,Circulating Cent,1 cent,USA,2021,not legible in photo,"Lincoln cent, Union Shield reverse (2010-present)",19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 2021,ONE CENT / E PLURIBUS UNUM / UNITED STATES OF AMERICA - Union Shield design,"Laid out on green textured fabric, good detail, some glare",1,0.01,0.04,"Face value - common modern dates, no premium",high,,IMG_1233_b06.jpg,annotated/IMG_1233.jpeg,b06,,,,
Batch 2 cent b07,IMG_1233,Circulating Cent,1 cent,USA,2011,not legible in photo,"Lincoln cent, Union Shield reverse (2010-present)",19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 2011,ONE CENT / E PLURIBUS UNUM / UNITED STATES OF AMERICA - Union Shield design,"Laid out on green textured fabric, good detail, some glare",1,0.01,0.04,"Face value - common modern dates, no premium",high,,IMG_1233_b07.jpg,annotated/IMG_1233.jpeg,b07,,,,
Batch 2 cent b08,IMG_1233,Circulating Cent,1 cent,USA,,not legible in photo,"Lincoln cent, Memorial reverse (1959-2008)",19.05,3.11,"95% copper, 5% zinc (bronze)",plain,not shown in this crop,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,"Laid out on green textured fabric, good detail, some glare",1,0.01,0.04,"Face value - common modern dates, no premium",medium,"Lincoln Memorial reverse is clear (1959-2008), but the obverse/date isn't shown in this crop.",IMG_1233_b08.jpg,annotated/IMG_1233.jpeg,b08,,,,
Batch 2 cent b09,IMG_1233,Circulating Cent,1 cent,USA,1976,not legible in photo,"Lincoln cent, Memorial reverse (1959-2008)",19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1976,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,"Laid out on green textured fabric, good detail, some glare",1,0.01,0.04,"Face value - common modern dates, no premium",high,,IMG_1233_b09.jpg,annotated/IMG_1233.jpeg,b09,,,,
Batch 2 cent b10,IMG_1233,Circulating Cent,1 cent,USA,,not legible in photo,"Lincoln cent, Union Shield reverse (2010-present)",19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,not shown in this crop,ONE CENT / E PLURIBUS UNUM / UNITED STATES OF AMERICA - Union Shield design,"Laid out on green textured fabric, good detail, some glare",1,0.01,0.04,"Face value - common modern dates, no premium",medium,"Union Shield reverse is clear (2010-present), but the obverse/date isn't shown in this crop.",IMG_1233_b10.jpg,annotated/IMG_1233.jpeg,b10,,,,
Batch 2 cent b11_gold,IMG_1233,Circulating Cent,1 cent,USA,,,Union Shield cent (2010-present) with unusual overall brass/gold coloring instead of normal copper-red,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,not shown in this crop,"ONE CENT / E PLURIBUS UNUM / UNITED STATES OF AMERICA - shield design, brassy-gold tone","Distinct yellow/gold tone across the whole coin, unlike the reddish-brown of the others next to it",1,0.01,1,"Face value - the color shift is almost certainly heat/chemical discoloration or a novelty gold-dipped souvenir cent, not a mint error or plating variety with real premium",medium,"If you want to be sure, a genuine mint error (like a wrong-planchet or unplated cent) would be worth checking with a coin dealer, but the most common explanation for an evenly gold-toned modern cent is environmental exposure - which does not add value.",IMG_1233_b11_gold.jpg,annotated/IMG_1233.jpeg,b11_gold,,,yes,Unusual brass/gold toning - worth a second look even though most likely just discoloration
Batch 2 nickel - 2022,"IMG_1234, IMG_1235, IMG_1236",Circulating Nickel,5 cents,USA,2022 (P),P,"Jefferson Nickel, ""Return to Monticello"" design (2006-present)",21.21,5.0,"75% copper, 25% nickel",plain,IN GOD WE TRUST / Liberty (script signature) / 2022 P,MONTICELLO / E PLURIBUS UNUM / UNITED STATES OF AMERICA / FIVE CENTS,"Lightly circulated, good detail, clearly dated",1,0.05,0.05,Face value - common date/mintmark,high,,,,,,,,
Batch 2 nickel - worn 1,"IMG_1234, IMG_1235, IMG_1236",Circulating Nickel,5 cents,USA,,not legible in photo,"Jefferson Nickel, older classic design, date worn/photo too blurry to read",21.21,5.0,"75% copper, 25% nickel",plain,LIBERTY / IN GOD WE TRUST (arched pre-2004 style lettering),MONTICELLO / E PLURIBUS UNUM / UNITED STATES OF AMERICA / FIVE CENTS,"Moderate wear; reverse photos (IMG_1235/1236) are motion-blurred, date not recoverable from these images",1,0.05,0.05,Face value expected for a common worn Jefferson nickel; re-photograph in focus if you want an exact date,low,,,,,,,,
Batch 2 nickel - worn 2,"IMG_1234, IMG_1235, IMG_1236",Circulating Nickel,5 cents,USA,,not legible in photo,"Jefferson Nickel, older classic design, date worn/photo too blurry to read",21.21,5.0,"75% copper, 25% nickel",plain,LIBERTY / IN GOD WE TRUST (arched pre-2004 style lettering),MONTICELLO / E PLURIBUS UNUM / UNITED STATES OF AMERICA / FIVE CENTS,"Moderate wear; reverse photos (IMG_1235/1236) are motion-blurred, date not recoverable from these images",1,0.05,0.05,Face value expected for a common worn Jefferson nickel; re-photograph in focus if you want an exact date,low,,,,,,,,
Big Spread cent - 2015 (frame 1),IMG_1237,Circulating Cent,1 cent,USA,2015,not legible in photo,Lincoln Union Shield cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 2015,not shown in this crop,"Good detail, on green quilted fabric",1,0.01,0.01,Face value - common modern date,medium,Bottom edge of the date is slightly cropped in this photo.,IMG_1237_s1_c2015.jpg,annotated/IMG_1237.jpeg,s1_c2015,,,,
Big Spread cent - 2004 (frame 1),IMG_1237,Circulating Cent,1 cent,USA,2004,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 2004,not shown in this crop,"Good detail, on green quilted fabric",1,0.01,0.01,Face value - common modern date,high,,IMG_1237_s1_c2004.jpg,annotated/IMG_1237.jpeg,s1_c2004,,,,
Big Spread nickel (frame 1),IMG_1237,Circulating Nickel,5 cents,USA,,not legible in photo,"Jefferson Nickel, ""Return to Monticello"" design (script Liberty)",21.21,5.0,"75% copper, 25% nickel",plain,IN GOD WE TRUST / Liberty (script) / date not clearly legible,not shown in this crop,Heavy dark toning obscures the exact date digits (looks like a 2020s date),1,0.05,0.05,Face value - common date expected,low,Toning makes the last 1-2 digits ambiguous; re-check in hand under better light.,IMG_1237_s1_nickel.jpg,annotated/IMG_1237.jpeg,s1_nickel,,,,
Big Spread cent - 2013 (frame 2),IMG_1238,Circulating Cent,1 cent,USA,2013,not legible in photo,Lincoln Union Shield cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 2013,not shown in this crop,"Darker toning, moderate wear",1,0.01,0.01,Face value - common modern date,medium,,IMG_1238_s2_c2013.jpg,annotated/IMG_1238.jpeg,s2_c2013,,,,
Big Spread cent - 2016 (frame 2),IMG_1238,Circulating Cent,1 cent,USA,2016,not legible in photo,Lincoln Union Shield cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 2016,not shown in this crop,"Good detail, some glare",1,0.01,0.01,Face value - common modern date,high,,IMG_1238_s2_c2016.jpg,annotated/IMG_1238.jpeg,s2_c2016,,,,
Big Spread cent - shield reverse (frame 2),IMG_1238,Circulating Cent,1 cent,USA,,,"Lincoln cent, Union Shield reverse (2010-present)",19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,not shown in this crop,UNITED STATES OF AMERICA / ONE CENT - Union Shield design,"Gold-ish patina, reverse-up",1,0.01,0.01,"Face value - common, no premium",medium,"Reverse confirms 2010-present, but obverse/date not shown in this crop.",IMG_1238_s2_shield.jpg,annotated/IMG_1238.jpeg,s2_shield,,,,
Big Spread cent - 2015 (frame 3),IMG_1239,Circulating Cent,1 cent,USA,2015,not legible in photo,Lincoln Union Shield cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 2015,not shown in this crop,Good detail,1,0.01,0.01,Face value - common modern date,high,,IMG_1239_s3_c2015.jpg,annotated/IMG_1239.jpeg,s3_c2015,,,,
Big Spread cent - 2020 (frame 3),IMG_1239,Circulating Cent,1 cent,USA,2020,not legible in photo,Lincoln Union Shield cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 2020,not shown in this crop,"Good detail, coin is rotated in-frame",1,0.01,0.01,Face value - common modern date,high,,IMG_1239_s3_c2020.jpg,annotated/IMG_1239.jpeg,s3_c2020,,,,
Big Spread cent - 2023 (frame 3),IMG_1239,Circulating Cent,1 cent,USA,2023,not legible in photo,Lincoln Union Shield cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 2023,not shown in this crop,"Good detail, coin is rotated in-frame",1,0.01,0.01,Face value - common modern date,high,,IMG_1239_s3_c2023.jpg,annotated/IMG_1239.jpeg,s3_c2023,,,,
Big Spread cent - 1986 (frame 3),IMG_1239,Circulating Cent,1 cent,USA,1986,not legible in photo,Lincoln Memorial cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 1986,not shown in this crop,Good detail,1,0.01,0.01,Face value - common date,high,,IMG_1239_s3_c1986.jpg,annotated/IMG_1239.jpeg,s3_c1986,,,,
"Big Spread dime (frame 3, was mislabeled as a nickel)",IMG_1239,Circulating Dime,10 cents,USA,,not legible in photo,Roosevelt Dime,17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / date not shown in this crop,not shown in this crop,"This box was originally labeled ""s3_nickel"" during layout but the coin is actually a Roosevelt Dime (profile bust + LIBERTY arc match the dime obverse, not the Jefferson Nickel design) - corrected here.",1,0.1,0.1,"Face value if clad; check edge for a copper stripe (clad) vs solid silver-gray (90% silver, 1964-or-earlier)",low,Date not visible in this crop - re-photograph to confirm year.,IMG_1239_s3_nickel.jpg,annotated/IMG_1239.jpeg,s3_nickel,,,,
Big Spread nickel - 2022 (frame 4),IMG_1240,Circulating Nickel,5 cents,USA,2022,not legible in photo,"Jefferson Nickel, ""Return to Monticello"" design (script Liberty)",21.21,5.0,"75% copper, 25% nickel",plain,IN GOD WE TRUST / Liberty (script) / 2022,not shown in this crop,"Clear, lightly circulated",1,0.05,0.05,Face value - common date,high,,IMG_1240_s4_nickel2022.jpg,annotated/IMG_1240.jpeg,s4_nickel2022,,,,
Big Spread nickel - 2009 (frame 4),IMG_1240,Circulating Nickel,5 cents,USA,2009,P,"Jefferson Nickel, ""Return to Monticello"" design (script Liberty)",21.21,5.0,"75% copper, 25% nickel",plain,IN GOD WE TRUST / Liberty (script) / 2009 P,not shown in this crop,"Clear, lightly circulated",1,0.05,0.05,Face value - common date/mintmark,high,,IMG_1240_s4_nickel2009.jpg,annotated/IMG_1240.jpeg,s4_nickel2009,,,,
Big Spread cent - anomalous gold-toned (frame 4),IMG_1240,Circulating Cent,1 cent,USA,,,Lincoln cent with unusual overall brass/gold coloring instead of normal copper-red,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,"LIBERTY / partial date obscured by the gold toning (possibly 1960s, not confirmed)",not shown in this crop,Distinct yellow/gold tone across the whole coin - second gold-toned cent found in this collection (see also b11_gold from batch 2),1,0.01,1,"Face value - most likely environmental discoloration, not a mint error",low,"Second unusual brass/gold-toned cent in this batch - same likely explanation as the other one (environmental discoloration), but worth comparing the two side by side.",IMG_1240_s4_gold.jpg,annotated/IMG_1240.jpeg,s4_gold,,,yes,Second unusual brass/gold-toned cent in this batch - worth comparing side by side with b11_gold
Big Spread - remaining cents,"IMG_1237, IMG_1238, IMG_1239, IMG_1240","Circulating Cent (bulk, possible duplicate photos)",1 cent,USA,,,"Additional Lincoln cents visible across these 4 photos, not individually isolated",19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST + date,mix of Lincoln Memorial and Union Shield reverses,"These 4 photos appear to be overlapping shots of ONE large scattered coin spread (same green quilted fabric, matching coins visible near the edges of adjacent frames), not 4 separate piles",23,0.23,0.23,Face value expected - no wheat cents or unusual dates spotted among these,low,"Treat this as one estimate for the whole spread, not 4x the visible coins - recommend a physical recount since the same coins likely appear in more than one of these 4 overlapping photos. 10 of the coins in this spread were individually isolated above (see ""Big Spread cent/dime"" rows).",,annotated/IMG_1237.jpeg,,,,,
Big Spread - remaining nickels,"IMG_1237, IMG_1238, IMG_1239, IMG_1240",Circulating Nickel,5 cents,USA,,not legible in photo,"Additional Jefferson Nickels, mix of older arched-""LIBERTY"" pre-2004 design and newer script design, dates not legible",21.21,5.0,"75% copper, 25% nickel",plain,LIBERTY / IN GOD WE TRUST + date (not legible),not photographed,"Several look moderately worn with a duller/darker tone - worth a quick check for 1942-1945 ""war nickels"" (35% silver, large mint mark over Monticello dome)",6,0.3,5,Face value if standard copper-nickel; ~$1.50+ each in silver melt alone if any turn out to be 1942-1945 war nickels,low,"Quick tell for a war nickel: flip it over - if the mint mark letter (P, D, or S) is large and sits directly above Monticello's dome, it's 35% silver. 3 nickels in this spread were individually isolated above.",,annotated/IMG_1237.jpeg,,,,,
Big Spread - remaining dimes,"IMG_1237, IMG_1238, IMG_1239, IMG_1240",Circulating Dime,10 cents,USA,,not legible in photo,"Roosevelt Dimes, various, scattered in the same spread",17.91,2.268,copper-nickel clad over pure copper core,reeded,LIBERTY / IN GOD WE TRUST,not photographed close enough to read,Glare on a couple of these obscures the date,6,0.6,12,Face value if clad; ~$2+ each in silver melt if any are 1964-or-earlier (90% silver),low,"Same silver-date check applies here as the other dime groups. 1 dime in this spread was individually isolated above (see ""Big Spread dime"").",,annotated/IMG_1237.jpeg,,,,,
2009-P Return to Monticello nickel,"IMG_1278 Large.jpeg, IMG_1279 Large.jpeg",Circulating Nickel,5 cents,USA,2009,P,"Jefferson nickel, ""Return to Monticello"" design (script Liberty signature)",21.21,5.0,"75% copper, 25% nickel",plain,IN GOD WE TRUST / Liberty (script) / 2009 P,not photographed in this crop,"Clear, well-struck, date and mintmark both legible",1,0.05,0.05,Face value - common date/mintmark,high,"Confirmed by user: 2009 Return to Monticello nickel, minted in Philadelphia. Corrects an earlier catalog entry that had misread this pair as ""1974"" - the script ""Liberty"" signature alone rules out 1974 (arched LIBERTY text era). IMG_1279 is an edge-on shot (plain edge, consistent with a nickel) likely documenting this coin or its pair below.",,,,,,,
Jefferson nickel - Westward Journey reverse,IMG_1278 Large.jpeg,Circulating Nickel,5 cents,USA,2004-2005 (Westward Journey series),not legible in photo,"Jefferson nickel, Westward Journey commemorative reverse (exact design - Peace Medal/Keelboat/Bison/Ocean in View - not confidently identified due to wear and rotation)",21.21,5.0,"75% copper, 25% nickel",plain,not shown in this crop,"IN GOD WE TRUST / mountainous scene with a standing figure - worn, exact Westward Journey variant unclear",Moderate wear obscures the fine reverse detail needed for a certain sub-type ID,1,0.05,0.05,Face value expected - all 4 Westward Journey reverse varieties are common in circulation,low,"""IN GOD WE TRUST"" on the reverse rules out a Buffalo/Indian Head nickel (which never carries that motto) - this is a Jefferson nickel with one of the 2004-2005 Westward Journey commemorative reverses. Re-photograph straight-on for a firm sub-type ID.",,,,,,,
Jefferson nickel - undated #1,IMG_1277 Large.jpeg,Circulating Nickel,5 cents,USA,,not legible in photo,"Jefferson nickel, standard Monticello reverse",21.21,5.0,"75% copper, 25% nickel",plain,not shown in this crop,MONTICELLO / FIVE CENTS / UNITED STATES OF AMERICA / E PLURIBUS UNUM,Reverse-only crop; date is on the obverse and isn't visible here,1,0.05,0.05,Face value expected for a common-date Jefferson nickel,low,Photographed reverse-up alongside the coin below; re-photograph the obverse for a date.,,,,,,,
Jefferson nickel - undated #2,IMG_1277 Large.jpeg,Circulating Nickel,5 cents,USA,,not legible in photo,"Jefferson nickel, standard Monticello reverse",21.21,5.0,"75% copper, 25% nickel",plain,not shown in this crop,MONTICELLO / FIVE CENTS / UNITED STATES OF AMERICA / E PLURIBUS UNUM,Reverse-only crop; date is on the obverse and isn't visible here,1,0.05,0.05,Face value expected for a common-date Jefferson nickel,low,Photographed reverse-up alongside the coin above; re-photograph the obverse for a date.,,,,,,,
Jefferson nickel (pre-ID CL-20260707-BOX01-PS001-0001),"IMG_1280 Medium.jpeg, IMG_1281 Medium.jpeg, IMG_1282 Medium.jpeg",Circulating Nickel,5 cents,USA,,not legible in photo,"Jefferson nickel, ""Return to Monticello"" design (script Liberty signature)",21.21,5.0,"75% copper, 25% nickel",plain,"IN GOD WE TRUST / Liberty (script) / date partially obscured, reads approximately ""200_""",UNITED STATES OF AMERICA / E PLURIBUS UNUM / MONTICELLO (partially legible),"Obverse, reverse, and edge (plain, no reeding - consistent with a nickel) all individually photographed on top of a printed pre-ID label",1,0.05,0.05,Face value expected for a common post-2005 date,low,"First coin catalogued under the new pre-ID label system: CL-20260707-BOX01-PS001-0001 (date-BOX-photoset-item). All 3 photos confirmed to be the same physical coin (obverse/reverse/edge), so the shared ID is correct usage, not a duplicate-labeling mistake. Re-photograph the obverse straight-on to pin down the exact year.",,,,,,,
